OTHER,Torradovirus,Orthotospovirus,Mobatvirus,Furovirus,Emaravirus,Hartmanivirus,Dichorhavirus,Phlebovirus,Rotavirus,Bymovirus,Mammarenavirus,Betapartitivirus,Yingvirus,Orthohantavirus,Uukuvirus,Bromovirus,Aquareovirus,Gammapartitivirus,Reptarenavirus,Fijivirus,Sadwavirus,Orthobunyavirus,Bandavirus,Orthonairovirus,Alphanodavirus,Babuvirus,Orbivirus,Betachrysovirus,Polymycovirus,Alphachrysovirus,Betanodavirus,Fabavirus,Deltapartitivirus,Cystovirus,Pacuvirus,Pomovirus,Cypovirus,Cheravirus,Coltivirus,Nanovirus,Comovirus,Orthopicobirnavirus,Ilarvirus,Seadornavirus,Scarabeuvirus,Nepovirus,Ophiovirus,Phasivirus,Tenuivirus,Alphapartitivirus,Aquabirnavirus,Orthoreovirus,Orthophasmavirus,Begomovirus,Bracoviriform,Crinivirus,Orthocurvulavirus,Thogotovirus,Cosavirus,Quaranjavirus,Chlorovirus,Iflavirus,Orthodiscovirus,Enterovirus,Tobamovirus,Ohlsrhavirus,Orthobornavirus,Atadenovirus,Rosavirus,Cardiovirus,Ampelovirus,Liefievirus,Nonagvirus,Ceduovirus,Biseptimavirus,Mihkrovirus,Hysdruvirus,Ollusvirus,Tunavirus,Gammahypovirus,Alphapleolipovirus,Sunrhavirus,Yuavirus,Muminvirus,Gemykrogvirus,Umbravirus,Marafivirus,Hepacivirus,Bronvirus,Copiparvovirus,Saphexavirus,Perhabdovirus,Bridgettevirus,Pankowvirus,Potyvirus,Alphafusarivirus,Alphatorquevirus,Jujuvirus,Montyvirus,Moineauvirus,Agtrevirus,Claudivirus,Polerovirus,Clecrusatellite,Gemygorvirus,Pradovirus,Betahypovirus,Vesiculovirus,Chivirus,Metaavulavirus,Scleroulivirus,Pregotovirus,Pipapillomavirus,Gyrovirus,Alphapapillomavirus,Betascleroulivirus,Gammapapillomavirus,Thetatorquevirus,Pakpunavirus,Gammapolyomavirus,Curtovirus,Pbunavirus,Mastrevirus,Gemykibivirus,Alphabaculovirus,Ceetrepovirus,Veracruzvirus,Gamaleyavirus,Alehxovirus,Thalassavirus,Backyardiganvirus,Cunarovirus,Phikmvvirus,Torbevirus,Taupapillomavirus,Halcyonevirus,Rocahepevirus,Bocaparvovirus,Upsilonpapillomavirus,Gemykroznavirus,Cequinquevirus,Rhadinovirus,Enamovirus,Peropuvirus,Karimacvirus,Simplexvirus,Buchavirus,Allexivirus,Betaretrovirus,Errantivirus,Betatorquevirus,Foveavirus,Megalocytivirus,Slopekvirus,Tequatrovirus,Betapolyomavirus,Peeveelvirus,Orthopneumovirus,Cheoctovirus,Ghunavirus,Fishburnevirus,Usarudivirus,Sripuvirus,Inovirus,Sclerotimonavirus,Paslahepevirus,Epseptimavirus,Pecentumvirus,Huchismacovirus,Macavirus,Audreyjarvisvirus,Orthoavulavirus,Gulmivirus,Aureusvirus,Unuamitovirus,Jiaodavirus,Carlavirus,Gredihovirus,Tepovirus,Potexvirus,Ebolavirus,Mydovirus,Brussowvirus,Traversvirus,Kayfunavirus,Metapneumovirus,Kehruavirus,Tetraparvovirus,Triamitovirus,Bahnicevirus,Deltavirus,Bruynoghevirus,Colecusatellite,Pospiviroid,Agricanvirus,Fletchervirus,Drulisvirus,Felixounavirus,Alphanucleorhabdovirus,Upsilontorquevirus,Triavirus,Dhakavirus,Pohlevirus,Betacoronavirus,Victorivirus,Totivirus,Tritimovirus,Intasivirus,Siadenovirus,Phimunavirus,Chipapillomavirus,Varicellovirus,Trichovirus,Rosenblumvirus,Coopervirus,Duamitovirus,Metavirus,Mamastrovirus,Vectrevirus,Arctuvirus,Kagunavirus,Botoulivirus,Velarivirus,Norovirus,Henipavirus,Jeilongvirus,Webervirus,Cytorhabdovirus,Protoparvovirus,Pararubulavirus,Hemivirus,Alphamesonivirus,Badnavirus,Felsduovirus,Hunnivirus,Lambdapapillomavirus,Sigmavirus,Lehptavirus,Bequatrovirus,Teubervirus,Gammaretrovirus,Taipeivirus,Korravirus,Lillamyvirus,Gammacoronavirus,Magoulivirus,Skunavirus,Porprismacovirus,Keshuvirus,Rosemountvirus,Samwavirus,Kenoshavirus,Luteovirus,Krischvirus,Betapapillomavirus,Fernvirus,Alphatrevirus,Kratiovirus,Gemycircularvirus,Robigovirus,Ranavirus,Chaphamaparvovirus,Pujohnavirus,Betalipothrixvirus,Tombusvirus,Pestivirus,Dependoparvovirus,Charlievirus,Turbidovirus,Casadabanvirus,Penicillimonavirus,Roseolovirus,Mischivirus,Iteradensovirus,Ilzatvirus,Mardivirus,Triatovirus,Benedictvirus,Sirevirus,Avipoxvirus,Mosigvirus,Pelarspovirus,Weheuvirus,Formivirus,Respirovirus,Betatectivirus,Tymovirus,Flavivirus,Gaprivervirus,Hohrdovirus,Hepatovirus,Teetrevirus,Cimandefvirus,Whispovirus,Phietavirus,Vedamuthuvirus,Alphacoronavirus,Lambdavirus,Likavirus,Amalgavirus,Capillovirus,Przondovirus,Sherbrookevirus,Simiispumavirus,Betaarterivirus,Berlinvirus,Cyclovirus,Xipapillomavirus,Vividuovirus,Psouhdivirus,Rerduovirus,Teseptimavirus,Wizardvirus,Lyssavirus,Avanivirus,Dhillonvirus,Skatevirus,Orthorubulavirus,Deltasatellite,Alphahypovirus,Pseudovirus,Hanrivervirus,Caulimovirus,Betabaculovirus,Turncurtovirus,Waikavirus,Alphapolyomavirus,Aparavirus,Fromanvirus,Anayavirus,Apscaviroid,Alphavirus,Kostyavirus,Bixzunavirus,Jerseyvirus,Percavirus,Kobuvirus,Homburgvirus,Parechovirus,Microwolfvirus,Betafusarivirus,Lederbergvirus,Warwickvirus,Mivedwarsatellite,Gammatorquevirus,Omegavirus,Marthavirus,Teschovirus,Gemykolovirus,Fipivirus,Gemyduguivirus,Alphaendornavirus,Closterovirus,Foxborovirus,Orthohepadnavirus,Ephemerovirus,Dyokappapapillomavirus,Phapecoctavirus,Aviadenovirus,Circovirus,Gladiatorvirus,Vitivirus,Peduovirus,Dubowvirus,Eganvirus,Betanucleorhabdovirus,Caelumvirus,Semotivirus,Sobemovirus,Kuttervirus,Kayvirus,Asfivirus,Condavirus,Lobdovirus,Ledantevirus,Amginevirus,Habenivirus,Macronovirus,Chloriridovirus,Penoulivirus,Timquatrovirus,Orthopoxvirus,Copernicusvirus,Pahexavirus,Pegivirus,Hapavirus,Sicinivirus,Deltapapillomavirus,Mastadenovirus,Friunavirus,Certrevirus,Oslovirus,Pifdecavirus,Mucrahivirus,Parapoxvirus,Elemovirus,Limdunavirus,Efquatrovirus,Betasatellite,Cytomegalovirus,Harbinvirus,Tequintavirus,Aphthovirus,position,contig_ID,contig_name
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,2000,1,NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome
0,0,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,1,NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668,0,0,0,0,0,0.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,1,NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome
0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346,0,0,0,0,0,0.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1,NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,1,NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome
